[Species]	[Gender]	[Name]	[Surname]	[ID Number]	[Birthday]	[Birthplace]	[Occupation]	[Orientation]	[Role]	[Position]	[Height/Length (Cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max (Cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[LV]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Tynamo Eelektrik Eelektross	Male			P60798422	29/09/1974																85	115	80	105	80	50	0	Electric	Bug	Brave	Red Card: Forces foe to switch once if holder is hit	Volt Switch (70/SA/Electric) Switches with teammate ~ Discharge (80/SA/Electric) 30% Paralysis Chance, hits all foes ~ Poison Gas (Poison) -1 AC to foe, causes Poison ~ Giga Impact (150/AT/Normal) 1 turn recharge	Shock Spikes (Parry/Electric) Inflicts Paralysis, Insane, and Poison if hit	Levitate: Immune to Ground Type	Squeeze Out: The whole team can squeeze extra PP once per battle.	None	Surprisingly good saboteur, inflicts status conditions before striking foes.	Slow and frail, weak to weather.	
TypeNull Silvally	Male	Midas	Theos	P48337903	??/??/????	WOL, Mystery Continent	Astronomer	Homo	Dom	Top	251	100	102	Elephant #969696	Keith Silverstein/Toru Okawa	Highly curious	ISTJ	Spaaaaaaace	Being Doubted, Failing Research, Losing Documents	Colored parts are gray.	95	95	95	95	95	95	172	Normal	Ghost	Rash	Disc Binder: Holds all RKS Memories.	Multi-Attack (90/AT/Normal) Type varies from held Memory ~ Double Edge (120/AT/Normal) 33% Recoil ~ Hyper Beam (150/SA/Normal) 1 turn recharge ~ Work Up (Normal) +1 AT and SA	None	RKS System: Type changes based on held Memory	Enlightened: Teammates can use Enlightenments immediately.	All-Defying: -50% Damage from Legendaries	A very, very, very tiny Arceus.	FIRE FIGHTING STARTERS!!! UGH!!!	Mentor: Seikon Tsukitsune
Turtwig Grotle Torterra	Male			P29459080	03/05/1990																155	100	100	55	90	33	0	Grass Ground	Steel	Docile	Trinket Box: Holds Exclusive Items	Stealth Rock (Rock) Hurts foes on switch-in ~ Earthquake (100/AT/Ground) hits all foes, 2X Damage on digging foes ~ Wood Hammer (120/AT/Grass) 33% Recoil ~ Synthesis (Grass) Heals by weather dependent amount	None	Shell Armor: Immune to Crits	Brawl: Teammates get a bit stronger when there are many foes.	Mount Torterra: +6 DF and SD, -3 all other stats	That tickled.	OHKO moves, status conditions.	
Venipede Whirlipede Scolipede	Male			P60174185	31/12/1970																60	150	90	55	70	110	0	Bug Poison	Fire	Rash	Eject Button: Switches with teammate if hit ~ Poisonium Z: Turns a Poison move into Acid Downpour	Megahorn (120/AT/Bug) Might miss ~ Swords Dance (Normal) +2 AT ~ Gunk Shot (120/AT/Poison) 30% Poison chance, might miss ~ Toxic Thread (Poison) -1 SP, causes Poison	Venom Burst (Poison) Badly poisons all foes	Speed Boost: +1 SP every turn	Stimulation: All stats are boosted when Belly is above half capacity, but it drains faster.	None	This centipede, is a predator.	Field hazards, Priority users	
Victini	Male	Rami		P52796440	12/05/1996																111	111	111	111	111	111	252	Psychic Fire	Electric	Docile	Courage Crown: +1 AT ~ Medal Box: Carries Medals to reward teams ~ V-Wheel: Controls Weather	Searing Shot (100/SA/Fire) 30% Burn chance ~ V-Create (300/AT/Fire) -1 all stats ~ Extrasensory (90/SA/Psychic) 30% Flinch chance, might miss ~ Blue Flare (130/SA/Fire) 20% burn chance, might miss	None	Victory Star: +1 AC to whole team	Machine Learning: Teammates have max IQ and all AI skills unlocked.	None	You REALLY don't want him near Mira.	Gets demoralized quickly when things aren't going his way.	
Victini	Female	Mira		P49491614	27/08/1981										Yumi Uchiyama						111	111	111	111	111	111	252	Psychic Fire	Electric	Bashful	Effort Crown: +1 DF ~ Wonder Launcher: Launches Pucks that cause various effects, needs to be recharged ~ Reveal Glass: Reveals Form Change Enlightenments	Searing Shot (100/SA/Fire) 30% Burn chance ~ V-Create (300/AT/Fire) -1 all stats ~ Extrasensory (90/SA/Psychic) 30% Flinch chance, might miss ~ Bolt Strike (130/SA/Electric) 20% paralysis chance, might miss	None	Victory Star: +1 AC to whole team	Machine Learning: Teammates have max IQ and all AI skills unlocked.	None	You REALLY don't want her near Rami.	Gets demoralized quickly when things aren't going her way.	
Virizion	Female			P12253320	04/05/1973																101	101	44	101	130	110	0	Grass Fighting	Ghost	Gentle	Savior Cape: +1 DF and SD for each teammate wearing a Savior Cape	Sacred Sword (90/AT/Fighting) Ignores stat changes ~ Swords Dance (Normal) +2 AT ~ Synthesis (Grass) Heals by weather dependent amount ~ Leaf Blade (90/AT/Grass) +1 Crit chance	None	Justified: +1 AT if hit by Dark move	Food Finder: Tiny Apples spawn much more often.	None	Great speed, great damage, great bulk...	...only special bulk though.	
Vulpix Ninetales (Alola)	Female	Betelgeuse	Chronos	P86184529	11/09/1988	WOL, Grass Continent	Chronos Officer	Hetero	Sub	Bottom	104	19	35	Becker #122a84	Erica Lindbeck/Sakura Momoka	Likes to run	ESFP	Reading, Bounty Hunting, Stargazing	Curses, Puns, Fainting	Dark, galaxy-like fur.	73	66	73	80	103	137	144	Ice Fairy	Fire	Timid	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Bounty Scanner: Scans Pokemon to check if they're Outlaws or Wanted ~ Treasure Bag: Allows Teams to hold more than 3 items	Hail (Ice) Causes Hail for 5 turns ~ Aurora Veil (Ice) Makes team immune to Hail, and halves all damage. Requires Hail ~ Freeze-Dry (70/SA/Ice) 10% Freeze Chance, 2X Damage to Water types ~ Hypnosis (Psychic) 50% Sleep Chance	Galactic Damnation (Ghost) If user is hit by any move from anyone, so is the target	Snow Cloak: +1 EV in Hail	Synced Breathing: Teammates Crit more often the bigger the team is.	None	Brilliant bounty hunter, you won't violate the law ever again once you're caught in her hail.	She likes to... fight slow and painful, which can be exploited.	Friends: Lyra Chronos, Vega Chronos, Sirius Chronos
Vulpix Ninetales	Male	Seikon	Tsukitsune	P15323773	03/03/1616	WOL, Mystery Continent	Shrine Guardian	Hetero	Dom	Top	143	22	42	Ingrid #e0c369	Mike Debonis/Go Shinomiya	Somewhat vain	ENTP	Ho-Ohs, Lugias, Eeveelutions	Death, Gunpowder, War	Red kitsune patterns on his face, tails, and hair.	91	81	81	81	120	107	114	Fire Ghost	Ice	Gentle	Carubyncle: Red gem slotted in his chest, grants eternal youth. ~ Eevee Beads: Praying beads with all evolutionary stones attached: Fire, Water, Thunder, Leaf, Ice, Moon, Sun, Shiny, Dusk, and Dawn. Can evolve any Eevee or Eeveelution. ~ Ninetalium Z: Turns Will-O-Wisp into Light Of Shinto	Overheat (130/SA/Fire) -2 SA ~ Will O' Wisp (Fire) Causes Burn ~ Shadow Claw (70/AT/Ghost) +1 Crit chance ~ Hidden Power (70/SA/???)	Miracle (Fairy) Fully revives a fainted ally.	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Taiyou: Team is immune to Curse, Grudge, and Perish Song.	None	Can take quite a beating, and get back up in an instant. Seems to defy calamity.	Not a great fighter, physically and mentally.	Pupil: Midas Theos
Wimpod Golisopod	Male			P62273362	30/04/2005																75	130	150	50	110	30	0	Bug Water	Ice	Lonely	White Herb: Nullifies Status debuffs	First Impression (100/AT/Bug) +3 Priority, only first turn ~ Leech Life (80/AT/Bug) Heals 50% Damage ~ Liquidation (85/AT/Water) 20% chance -1 DF to foe ~ Razor Shell (75/AT/Water) 50% chance -1 DF to foe	None	Emergency Exit: Switches with teammate when less than 50% HP	Narrow Focus: Moves used in corridors will never miss. 	None	Revenge killer that can also tank hits like a champ.	Huge coward, runs off when things don't go his way.	
Wooper Quagsire	Male			H97441247	24/10/1991																100	90	80	70	60	50	0	Water Ground	Steel	Hardy	Link Box: Allows move linking	Octazooka (65/SA/Water) 50% chance -1 AC to foe ~ Origin Pulse (110/SA/Water) Hits all foes, might miss ~ Crabhammer (100/AT/Water) +1 Crit chance ~ Thousand Waves (90/AT/Ground) Hits all foes, prevents switching	None	Unaware: Ignores foe's stat changes when doing damage	Army Of Two: If there's only one teammate, that teammate gets a big stat boost.	Denied: Disables all of one foe's moves	He's... not supposed to know any of those moves.	Weaker than he actually looks, especially against many foes.	
Xerneas	Female	Xenocrates	Edda	P79819002	??/??/????	WOL, Mystery Continent	Death Cocoon Guard Leader	Hetero	Switch	Bottom	332	196	153	Xaligraphy #2229bf	Jeannie Tirado/Misono Mei	Proud of its power	ENTP	Unknown	Unknown	Blue and black parts are inverted, purple eyes.	131	131	96	131	99	96	188	Fairy Grass	Psychic	Quirky	Life Herb: Skips charge and recharge turns once	Geomancy (Fairy) 1 turn charge, +2 SA, SD, and SP ~ Moonblast (95/SA/Fairy) 30% Chance -1 SA to foe ~ Aromatherapy (Grass) Cures team's status conditions ~ Grass Knot (Grass) Deals damage based on foe's weight	Vita (Fairy) 2X Max HP to all teammates	Fairy Aura: Boosts Fairy moves	Wary Walk: The whole Team is immune to traps.	None	Checkmates Dragon types, likes to boost up before dealing a hard blow.	Aggression can throw her off.	Crush: Yggdrasil Edda ~ Friend: Zephyr Edda
Yveltal	Male	Yggdrasil	Edda	P73279005	??/??/????	WOL, Mystery Continent	Life Tree Guard Leader	Hetero	Switch	Top	594	190	188	Ysgarth #f01610	Christopher Bevins/Daisuke Egawa	Quick tempered	INFJ	Unknown	Unknown	Red and black parts are inverted, purple eyes.	131	131	99	131	96	96	188	Dark Flying	Ghost	Mild	Death Orb: Drains opponent's HP, lowers power of holder's moves.	Oblivion Wing (80/SA/Flying) 75% HP drain ~ Dark Pulse (80/SA/Dark) 20% Flinch chance ~ Toxic (Poison) Badly Poisons foe ~ Heat Wave (95/SA/Fire) 10% Burn Chance	Morte (Dark) 0.5X Max HP to all foes	Dark Aura: Boosts Dark moves	Wary Walk: The whole Team is immune to traps.	None	Checkmates Psychic types, likes to hit immediately instead of stalling.	Patience can throw him off.	Crush: Xenocrates Edda ~ Friend: Zephyr Edda
Zangoose	Male			P58458566	01/10/1995																75	120	60	60	60	90	0	Normal	Water	Quiet	Red Flute: Cures Infatuation	Crush Claw (75/AT/Normal) 50% chance -1 DF to foe ~ Facade (70/AT/Normal) 2X damage if user has status condition ~ Knock Off (65/AT/Dark) Removes foe's item ~ Revenge (60/AT/Fighting) 2X damage if user got hit first.	None	Toxic Boost: +2 AT when poisoned	Brawl: Teammates get a bit stronger when there are many foes.	None	Deceptively smart and cunning, knows unusual moves.	Low stats, lacks training, walled by Ghost types.	
Zekrom	Male	Kuro	Ryuuniki	P33482560	05/11/1541	WOL, Mystery Continent	Mystery Continent Guard Leader	Hetero	Dom	Top	319	358	120	Benguiat Serif #363740	Jess Merlin/Shigeru Chiba	Likes to fight	ESFJ	Humans, Reshirams, Puzzles	Organizations, Lies, Warmongers	Claws, rings, and other metallic parts are blue.	130	150	120	120	100	90	244	Dragon Electric	Electric	Brave	Focus Sash: Resists OHKO's with 1HP left. ~ Dark Stone: Reverts Zekrom to Dark Orb, making it unable to move, but immune to damage	Fusion Bolt (100/AT/Electric) 2x power if used wih Fusion Flare ~ Bolt Strike (130/AT/Electric) 20% Paralysis Chance, might miss ~ Outrage (120/AT/Dragon) Lasts 2-3 turns, Confuses user ~ Roost (Flying) Heals 50% HP	Shocking Roar (200/AT/Electric) 1 turn charge, lasts 5 turns	Teravolt: All Moves and their effects ignore foe's ability.	Yin: Doubles nearby Reshiram's speed	Overdrive: Form Change Enlightenment	Completely walls other Electric types, unstoppable with a trainer, or Shiro.	Kyurem, doesn't handle status conditions well.	Sister: Shiro Ryuumouto
Zeraora	Male	Codd	Branford	H36010777	22/09/1900	WOD, China, Hong Kong, Kowloon	President of Nuricom Alliance	Hetero	Dom	Top	184	84	44	Maximise #0ebcf6	David Vincent/Keisuke Fujii	Likes to trash about	ESTP	Pokemon, Science, The Universe	Corruption, Conspiracies, Control	Black fur is white, yellow fur is black, no lightning stripes.	160	240	80	1	80	240	255	Electric Fighting Steel	Dragon	Adamant	Nurichaku Chaincoil: Human-engineered Nunchucks with Tesla coils on each end. x2 AT in exchange of 1 HP per successful move. ~ Nurigou Magnetar: A compressed Neutron Star Piece. Immune to Trick Room, and Ground/Rock type moves. ~ Nurimitsu Goudachi: Replaces a move with any Slash move.	Plasma Fists (100/AT/???) Normal Type moves become ??? Type. ~ Fumetsu (Parry/???) +1 AT if hit ~ One Inch Punch (500/AT/???) 1 turn charge, -1 AT, SA, SP and crit chance, might miss ~ Stun Gun Kiai (200/AT/???) Causes paralysis, 1 turn recharge	The Tempest (1/SA/Electric) 1 turn charge, stops time for 10 turns. Paralyses user at the end.	Jeet Kune Do: Can switch move type between Electric, Fighting, and Steel. "Be water, my friend."	Overclocking: Team boosts SP if hit. If Codd is hit by teammates, they transfer any Speed boost to him.	Way Of The Dragon: Only activates when a Human, or Former Human, defeats Codd. Revives with Full HP, all hits cause Paralysis, AC and EV are maxed out, adds Dragon Type and Dragon Jeet Kune Do.	The Power of Pokemon with the Knowledge of Humanity, Codd achieved spiritual and physical Enlightenment, uses his entire body and electric reserves in every single strike, and never seems to feel the slightest hint of exhaustion.	Biggest pushover in the entire galaxy.	Wife: Sheng Zhandou ~ Pupil: Jake Northstar ~ Friends: Cavum Nirum, Vega Chronos ~ Rival: Sid Tensei
Zigzagoon Linoone	Male			P44511828	24/09/1982																75	70	60	50	60	130	0	Normal	Bug	Bold	Scope Lens: +1 Crit Chance	Belly Drum (Normal) -50% Max HP, +6 AT ~ Extreme Speed (80/AT/Normal) +2 Priority ~ Stomping Tantrum (75/AT/Ground) 2X damage if previous move failed ~ Last Resort (140/AT/Normal) Fails unless all other moves have been used	None	Quick Feet: +1 SP when hit by status conditions	Narrow Focus: Moves used in corridors will never miss. 	None	He walk.	He gets sweeped hard.	
Zorua Zoroark	Male	Niko	Harmonia	H15049826	14/07/2002	WOD, USA, California, Sacramento	Courier And Vehicle Manager	Hetero	Sub	Top	170	75	41	Univers #760404	Daman Mills/Hikaru Midorikawa	Often lost in thought	INTP	Vehicles, Music, Being Alone	Himself, Extroverts, Bullying	Red parts are white.	60	100	60	150	60	100	66	Dark	Water	Hasty	Sona Powerplant: Immune to damage during Illusion. ~ Zoroarkium Z: Turns Night Daze into Cunning Devastation	Night Daze (90/SA/Dark) 50% chance -1 AC to foe ~ Shift (50/AT/Dark) Switches out foe ~ Pursuit (50/AT/Dark) 2x Damage if foe is switching ~ Payback (50/AT/Dark) 2x Damage if user took damage	None	Illusion: Disguises as weakest teammate	Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None	If a weak Pokemon suddenly phases through your hit and becomes a Zoroark, you've done goofed.	Completely vulnerable after the first hit.	
Zorua Zoroark	Male	Jiyu 	Shimizu	H52394144	16/11/1999	Axium-B 4892, Unknown	Unknown	Bi	Dom	Top	211	64	61	Rockwell #a9a6a3	Jordan Byrne/Masanori Shinohara	Likes to relax	INFJ	Music, Reading, Swimming	Betrayal, Repeating Things, His Ability	White chest fur and hair highlight, gold face patterns, white jade crystal.	60	250	65	70	65	100	256	Water	Dragon	Serious	Bleached Battlesash: Resists OHKO's with 1HP left, recharges. ~ Whale Lamp: Boosts Water and Dragon type moves. ~ Expert Belt: +20% PW with supereffective moves.	Ryujin Lance (90/AT/Water) 30% chance -2 DF to foe ~ Odin Wrath (100/AT/Dragon) 30% Flinch chance ~ Never Surrender (Fighting) +3 All Stats, can't flee, disables Last Stand ~ Last Stand (Fighting) Immune to Super Effective damage, can't flee, disables Never Surrender	Legion Of Freedom (Parry/500/AT/Random) 1 turn charge, never misses, hits all foes, leaves user with 1HP	Illusion: Disguises as weakest teammate	Deception: Teammates are immune to non-damaging moves during battle.	Tyr's Curse: +6 Priority, 2x max HP	Outstanding Delta sentinel, forces foes to focus on him, and then hits hard.	Other sweepers that know what is going on might be troublesome.	Boyfren: Flaros Overfield
Zygarde	Unknown	Zephyr	Edda	P93030940	??/??/????	WOL, Mystery Continent	Unknown	Unknown	Unknown	Unknown	587	814	???	Zepp #056b36	Marc Swint/Takashi Matsuyama	Likes to relax	ISFJ	Unknown	Unknown	Black fur is dark green, green spots are white.	256	100	121	91	95	95	233	Dragon Ground	Flying	Bold	Carbon Cells (6): Triggers 100% Form immediately, single use. ~ Zygarde Cube: Stores Moves and Cells	Land's Wrath (90/AT/Ground) ~ Thousand Arrows (90/AT/Ground) Removes Levitate ~ Thousand Waves (90/AT/Ground) Hits all foes, prevents Switching ~ Core Enforcer (100/SA/Dragon) Removes foe's ability	Cell Fusion (Dragon) Heals 100% HP and all status conditions	Aura Break: Disables all auras	Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	Power Construct: Form Change Enlightenment	Completely impenetrable in their 100% form. Seriously, don't even try to scratch it.	Can be caught by surprise?	Friends: Yggdrasil Edda, Xenocrates Edda, Jake Northstar
